Título,Letra
'03 Bonnie & Clyde (feat. Jay-Z)," 
Uhh, uhh, uhh
You ready, B?
Let's go get 'em
Look for me!
Young, B, cruisin' down the Westside Highway
Doin' what we like to do, our way
Eyes behind shades
This necklace the reason all of my dates been blind dates
But today I got my thoroughest girl with me
I'm mashin' the gas, she's grabbin' the wheel, it's trippy
How hard she rides with me, the new Bobby and Whitney
Only time we don't speak is during Sex and the City
She gets Carrie fever, but soon as the show's over
She's right back to being my soldier
‘Cause mami's a rider and I'm a roller
Put us together, how they gon' stop both us?
Whatever she lacks I'm right over her shoulder
When I'm off track, mami is keepin' me focused
So let's lock this down like it's supposed to be
The '03 Bonnie and Clyde: Hov' and B
All I need in this life of sin is me and my girlfriend (me and my girlfriend)
Down to ride 'til the very end, is me and my boyfriend (me and my boyfriend)
All I need in this life of sin is me and my girlfriend (me and my girlfriend)
Down to ride 'til the very end, is me and my boyfriend (me and my boyfriend)
The problem is, you dudes treat the one that you lovin'
With the same respect that you treat the one that you humpin'
That ain't 'bout nothin'
If ever you mad about somethin'
It won't be that, oh no, it won't be that
I don't be at places where we comfy at
With no be-atch, oh no, you won't see that
And no, I ain't perfect
Nobody walkin' this earth's surface is
But girlfriend, work with the kid
I keep you workin' that Hermès Birkin bag
Manolo Blahnik Timbs, Aviator lens
600 drops, Mercedes Benz
The only time you wear Burberry to swim
And I don't have to worry, only worry is him
She do anything necessary for him
And I do anything necessary for her
So don't let the necessary occur, yep!
All I need in this life of sin is me and my girlfriend (me and my girlfriend)
Down to ride 'til the very end, is me and my boyfriend (me and my boyfriend)
All I need in this life of sin is me and my girlfriend (me and my girlfriend)
Down to ride 'til the very end, is me and my boyfriend (me and my boyfriend)
(Talk to 'em, B!) If I was your girlfriend
I'll be there for you, if somebody hurts you
Even if that somebody was me (That’s right!)
Yeah-hee (break it down for 'em, B!)
Sometimes I trip on how happy we could be
And so I put this on my life
Nobody or nothing will ever come between us
And I promise I'll give my life
My love and my trust if you was my boyfriend (one more time!)
Put this on my life
The air that I breathe in, all that I believe in
I promise I'll give my life
And all of my trust if you was my boyfriend
All I need in this life of sin is me and my girlfriend (me and my girlfriend)
Down to ride 'til the very end, is me and my boyfriend (me and my boyfriend)
All I need in this life of sin is me and my girlfriend (me and my girlfriend)
Down to ride 'til the very end, is me and my boyfriend (me and my boyfriend)
 "
1+1," 
If I ain't got nothing
I got you
If I ain't got something, I don't give a damn
'Cause I got it with you
I don't know much about algebra, but I know
One plus one equals two
And it's me and you
That's all we'll have when the world is through
'Cause baby, we ain't got nothing without love
Darling, you got enough for the both of us
So come on, baby
Make love to me
When my days look low
Pull me in close and don't let me go
Make love to me
So when the world's at war
Let our love heal us all
Right now, baby
Make love to me, me, me, me, me
Oh, make love to me
Hey, I don't know much about guns, but I
I've been shot by you, hey
And I don't know when I'm gon' die but I hope
That I'm gon' die by you, hey
I don't know much about fighting but I
I know I will fight for you, hey
Just when I ball up my fist I realize
I'm lying right next to you
Baby, we ain't got nothing but love
And darling, you got enough for the both of us, ooh
Make love to me
When my days look low
Pull me in close and don't let me go
Make love to me
So when the world's at war
Let our love heal us all
Help me let down my guard
Make love to me, me, me, me, me
Oh, make love to me, me, me, me, me
 "
6 Inch (feat. The Weeknd)," 
[Beyoncé]
Six inch heels
She walked in the club like nobody's business
Goddamn
She murdered everybody and I was her witness
[The Weeknd]
She's stacking money, money everywhere she goes
(You know) pesos out of Mexico
(De uno) commas and them decimals
She don't gotta give it up, she professional
She mixing up that Ace with that Hennessy
She love the way it tastes, that's her recipe
Rushing through her veins like it's ecstasy
She already made enough, but she'll never leave
[Beyoncé]
Six inch heels
She walked in the club like nobody's business
Goddamn
She murdered everybody and I was her witness
She works for the money
She'll work for the money
From the start to the finish
And she worth every dollar
She worth every dollar
And she worth every minute
She works for the money
She works for the money
She works for the money
She works for the money
She stack her money, money everywhere she goes
(She got de uno) her Yamazaki straight from Tokyo
(Oh, baby, you know) she got them commas and them decimals
She don't gotta give it up 'cause she professional
Six inch heels
She walked in the club like nobody's business
Goddamn
She murdered everybody and I was her witness
She works for the money
She'll work for the money
From the start to the finish
And she worth every dollar
She worth every dollar
And she worth every minute
Stars in her eyes
She fights for the power, keeping time
She grinds day and night
She grinds from Monday to Friday
Works from Friday to Sunday, oh
She gon' slang
She too smart to crave material things
She pushing herself day and night
She grinds from Monday to Friday
Works from Friday to Sunday, oh
Stars in her eyes
She fights and she sweats those sleepless nights
But she don't mind, she loves the grind
She grinds from Monday to Friday
Works from Friday to Sunday, yeah
She gon' slang
Too smart to crave material things
Stacking her paper, stacking her cake up
She grinds from Monday to Friday
Works from Friday to Sunday, yeah
Six inch heels
She walked in the club like nobody's business
Goddamn
She murdered everybody and I was her witness
She works for the money
She'll work for the money
(I know just what to do to make you love me)
From the start to the finish
And she worth every dollar
She worth every dollar (love me)
And she worth every minute
Now, boy, I'll make you feel
You'll always come back to me
Come back
Come back
Come back
Come back
Come back
Come back
 "
632-5792," 
(Hello) hello
How are you (oh)
I just got to say I hold you
You know I had some things to do
Go lean up in me
You know
I guess I was kind of shy (how about)
Someone who writes for a dream
Or maybe you can see
Maybe you can sing a song (mmm)
(Tonight I'm bout to have fun)
(I dial...)
[Chorus:]
632-5792(number)
632-5792(mmm)
632-5792
632-5792(he said: call me anytime)
632-5792
632-5792
632-5792
632-5792
[verse 2:]
We talked about love songs (on and on and on)
There's nothing wrong with calling, a quite song
And havinig them play a song for me
A song for you, a song for me a song
It's getting late
And I can't wait
I have to go to sleep
I'm happy I will speak
But maybe I will be dreaming...
[hook:]
Dream of you
And we sing a lullaby (sing a lullaby)
Underneath a cherry tree
As softly passes by
And carries us away
High in the sky
When I your way
(You know I'm going to die)
[Chorus:]
632-5792(sing me a lalaby)
632-5792(I think I'll call you tonight)
632-5792(oooohhhh)
632-5792(yeahh)
632-5792(you baby)
632-5792(ooohh oh oh yeah)
632-5792(you and me)
632-5792
632-5792(I just call to say hi)
632-5792
632-5792
 "
7/11," 
Shoulders sideways, smack it, smack it in the air
Legs movin' side to side, smack it in the air
Legs movin' side to side, smack it in the air
Shoulders sideways, smack it, smack it in the air
Smack it, smack it in the air
Legs movin' side to side, smack it, smack it in the air
Smack it, smack it in the air
Wave your hands side to side, put it in the air (in the air)
Wave your hands side to side, put it in the air (to side, to side)
Clap, clap, clap like you don't care (to side, to side)
Smack that, clap, clap, clap, like you don't care (I know you care)
Clap, clap, clap, clap, clap it
Foot up, my foot up, hold up now my foot up (spinning)
I'm spinnin' my foot up, foot up, yeah, my foot up (spinning)
I'm spinnin' my foot up, put my foot down, yeah, my hands up
My hands up, my hands up (flexing)
Flexing while my hands up! (Flexing)
My hands up, my hands up, I stand up with my hands up
Then I put up, my hands up, I put up, my hands up
I put up, my hands up, then I'm spinnin' all my hands up (spinning)
Spinnin' while my hands up (spinning), spinnin' while my hands up (spinning)
Spinnin' while my hands up, then I'm tippin' all my hands up (tipping)
Spinnin', I'm spinnin', I'm spinnin' while my hands up
I'm spinnin', I'm spinnin', I'm spinnin' while my hands up (drank)
Hold that cup like alcohol
Hold that cup like alcohol (drank)
Hold that cup like alcohol
Don't you drop that alcohol! (Drank)
Never drop that alcohol
Never drop that alcohol
I know ya thinkin' 'bout alcohol
I know ya thinkin' 'bout that alcohol (dice)
Man, this here like rollin' dice
Man, this here like rollin' dice (dice)
Seven-eleven, seven-eleven
Seven twice, man, seven twice
Man, it feel like rollin' dice (dice)
Man, this feel like rollin' dice (dice)
Man, it feel like rollin' dice (dice)
Seven twice, seven twice (kick it)
Girl, I'm tryna kick it with you (girl)
Girl, I'm tryna kick it with you (man)
Man, I'm tryna kick it with you
My feet up, I kick it with you (man)
Man, I swear I kick it with you (girl)
Girl, I wanna kick it with you (man)
Man, I know I kick it with you
Yeah, I'll spin around and I kick it with you
Shoulders sideways, smack it, smack it in the air (move that leg)
Legs movin' side to side, smack it in the air (move that leg)
Legs movin' side to side, smack it in the air
Shoulders movin' side to side, smack it in the air (smack it)
Smack it in the air (smack it), smack it, smack it in the air (smack it)
Smack it in the air, smack it, smack it in the air
Wave your hands side to side, put it in the air (in the air)
Wave your hands side to side, put it in the air (to side, to side)
Clap, clap, clap like you don't care (to side, to side)
Smack that, clap, clap, clap, like you don't care (I know you care)
You care
I know you care
Wave your hands side to side (grind)
Wave your hands side to side (grind)
Wave your hands, to side, to side (grind)
Wave your hands side to side
Ooh, we bb freaky deaky
Think me see she pink bikini
Rock that kufi dye dashiki
Nefertiti, edges kinky
Sweatin' out my blow out
Sweatin' out my press
This tick about to go off
Mad 'cause I'm so fresh
Fresher than you
I'm fresher than you
Fresher than you, oh
 "
7/11 [Homecoming Live]," 
Goddamn, goddamn, goddamn, goddamn
Sing it, sing it
In the air
I know you care
Smack it, smack it
Smack it, smack it
In the air
Smack it, smack it, in the air
Wave your hands side to side, put it in the air
Clap, clap, clap like you don't care
Smack that, clap, clap, clap, like you don't care
(I know you care)
Clap it, clap it, clap it, clap it
Foot up, my foot up, hold up, now my foot up (Spinnin')
I'm spinnin', my foot up, foot up, yeah my foot up (Spinnin')
I'm spinnin', my foot up, put my foot down, yeah my hands up (Drank)
Hold that cup like alcohol, hold that cup like alcohol
Hold that cup like alcohol, don't you drop that alcohol
Never drop that alcohol, never drop that alcohol
I know I'm thinkin' 'bout alcohol, I know I'm thinkin' 'bout that alcohol
Man this feel like rollin' dice, damn this feel like rollin' dice
Seven eleven, seven eleven, seven twice, man, seven twice
Man, this feel like rollin' dice, damn, this feel like rollin' dice
Man, this feel like rollin' dice, seven twice, seven twice
Man, I'm tryna kick it with ya, damn, I wanna kick it with ya
Man I'm tryna kick it with ya, I spin around and I kick it with ya
Shoulders sideways, smack it, smack it in the air
Legs movin' side to side, smack it in the air
Legs movin' side to side, smack it in the air
Shoulders movin' side-to-side, smack it in the air
Smack it in the air, smack it, smack it in the air
Smack it in the air
I know you care
Wave ya hands side to side
Wave ya hands side to side
Wave ya hands from side to side
Wave ya hands side to side
Ooh wee Bey be freaky deaky, think me see she pink bikini
Rock that groovy dye dashiki, Nefertiti, edges kinky
Sweatin' out my blow out, sweatin' out my press
This trick about to go off, mad 'cause I'm so fresh
Fresher than you, fresher than you
Fresher than you, oh
 "
A Woman Like Me," 
Do you think
You could fall for a woman like me?
'Cause I find it hard to trust
I need too much
And I really don't believe in love, no no
Do you think
That I could be the girl of your dreams
Sometimes I don't let things go
Get emotional
And sometimes I'm just out of control
You need to stop for a minute
Before you get too, deep up in it (too deep)
'Cause everything ain't what it seems
It's hard loving a woman
A woman like me (woman like me)
You need to think about it
Before you get hooked on the venom
And can't live without it (no no)
Can't believe everything you see
It's hard loving a woman
A woman like me
Do you think
That I could be the one that you seek
'Cause baby I'm one step ahead
You're two steps behind
But baby I don't mind
Do you think
That I can make you real happy baby
Just don't get me wrong
My loving is so strong
But I ain't tryna lead you on
You need to stop for a minute (no no)
Before you get too, deep up in it (no no)
'Cause everything ain't what it seems (seems)
It's hard loving a woman
A woman like me (woman like me)
You need to think about it
Before you get hooked on the venom
And can't live without it (without it)
Can't believe everything you see
It's hard loving a woman
A woman like me
Woman like me
Woman like me
Woman like me
Oh
You need to stop for a minute (stop for a minute)
Before you get too, deep up in it (before you get too deep up in it)
'Cause everything ain't what it seems
It's hard loving a woman
A woman like me
You need to think about it (think about it, baby)
Before you get hooked on the venom
And can't live without it (no, no)
Can't believe everything you see
It's hard loving a woman
A woman like me
Woman like me
Woman like me
Woman like me
 "
After All Is Said And Done," 
Here I am
Looking in the mirror
An open face, the pain erased
Now the sky is clearer
I can see the sun
Now that all is, all is said and done, oh
There you are
Always strong when I need you
You let me give
And now I live, fearless and protected
With the one I will love
After all is, all is said and done
I once believed that hearts were made to bleed
(Inside I once believed that hearts were made to bleed, ohbaby)
But now I'm not afraid to say
I need you, I need you so stay with me
These precious (precious) hours (yeah)
Greet each dawn in open arms
And dream, into tomorrow
Where there's only love
After all is, all is said and done
(Yeah baby) Oh baby
(Inside I once believed, that hearts were meant to bleed)
(I'll never)
I'll never be afraid to say
I need you, I need you, so here
Here we are in the still of this moment
Fear is gone, hope lives on
We found our happy ending
For there's only love (only love)
And this sweet, sweet love
After all is, all is said and done
Yeah baby after all is (all is)
All is said and done
 "
Ain't Nothing Like The Real Thing (feat. Justin Timberlake)," 
There ain't nothing
Like the real thing 
Baby
There ain't nothing
Like the real thing
There ain't nothing
Like the real thing 
Baby
There ain't nothing
Like the real thing
I see your picture
Hanging on the wall
But it can't sing 
Or come to me
When I call your name
I realize it's just
A picture in a frame
And I read your letters
When you're not here
They don't move me
They don't groove me
Like when I hear 
Your sweet voice
Whispering in my ear
There ain't nothing
Like the real thing 
Baby
There ain't nothing
Like the real thing
No other sound is quite 
The same as your name
No touch can do 
Half as much
To make me feel better
Let's stay together
Together, baby 
Together, yeah
Together, together
I got some memories 
To look back on
And though they help 
When you phone
I'm well aware 
Nothing takes
The place 
Of your being there
There ain't nothing
There ain't nothing
Like the real thing 
Baby
There ain't nothing
Like the real thing
(Not like the real thing)
There ain't nothing
Like the real thing
(Not like the real thing)
There ain't nothing
Like the real thing
(Not like the real thing)
Oh, oh 
There ain't nothing
Like the real thing
(Not like the real thing)
There ain't nothing
Like the real thing
The real, the real
There ain't nothing
Like the real thing
(Not like the real thing)
The real, the real
The real thing
Oh, the real thing
(Not like the real thing)
(Not like the real thing)
 "
ALIEN SUPERSTAR," 
(Please do not be alarmed, remain calm)
(Do not attempt to leave the dancefloor)
(The DJ booth is conducting a tro-tro-troubleshoot test of the entire system)
I'm one of one
I'm number one
I'm the only one
Don't even waste your time trying to compete with me (don't do it)
No one else in this world can think like me (true)
I'm twisted (twisted), I'll contradict it
Keep him addicted, lies on his lips, I lick it
Unique
That's what you are
Stilеttos kicking vintage crystal off the bar
Category: Bad bitch, I'm thе bar (ooh)
Alien superstar
Whip, whip
I'm too classy for this world, forever I'm that girl
Feed you diamonds and pearls, ooh, baby
I'm too classy to be touched, I pay them all in dust
I'm stingy with my love
Ooh, baby, I'm (U-N-I-Q-U-E)
Ooh, I'm stingy with my love
Ooh, baby, I'm (U-N-I-Q-U-E)
Ooh, I'm stingy with my love (unique)
Unicorn is the uniform you put on
Eyes on you when you perform
Eyes on I when I put on
Mastermind and haute couture
Label whores can't clock, I'm so obscure (unique)
Masterpiece, genius
Drip, intravenous
Patty cake on that wrist, Tiffany blue billboards over that ceiling (unique)
We don't like plain, always dreamed of paper planes
Mile high when I rodeo, then I come down and take off again (unique)
You see pleasure in my glare (pleasure in my glare)
Look over my shoulder and you ain't scared (you ain't scared)
The effect you have on me when you stare
Head on a pillow, hike it in the air
I'm too classy for this world, forever I'm that girl
Feed you diamonds and pearls, ooh, baby
I'm too classy to be touched, I pay them all in dust
I'm stingy with my love, ooh, baby (unique)
I got pearls beneath my legs, my lips, my hands, my hips (U-N-I-Q-U-E)
I got diamonds beneath my thighs where his ego will find bliss (unique)
Can't find an ocean deep that can compete with this cinnamon kiss (U-N-I-Q-U-E)
Fire beneath your feet, music when you speak, you're so unique
(Unique)
That's what you are
Lingerie reflecting off the mirror on the bar
Category: Sexy bitch, I'm the bar
Alien superstar
(We dress a certain way)
(We walk a certain way)
(We talk a certain way)
(We create a certain way)
(We paint a certain way)
(We make love a certain way)
(You know, all of these things we do in a different)
(Unique, specific way that is personally ours)
We just reaching out to the solar
System, we flying over
Bullshit, we flying over  
Supernatural love up in the air
I just talk my shit, Casanova
Superstar, supernova
Power, pull 'em in closer
If that's your man then why he over here?
(Unique)
 "
